,Title,IMSDB-Genres,Writers,Movie-Title,IMDB-ID,Filename,BOM-url,Distributor,OW-Revenue,OW-Opens,Release-Date,Days-in-Release,MPAA,Runtime,Genres,Widest-Release,Domestic-Total,WorldWide-Total,Budget
0,10 Things I Hate About You,"['Comedy', 'Romance']","['Karen McCullah Lutz', 'Kirsten Smith', 'William Shakespeare']",10_Things_I_Hate_About_You,147800,./data/IMSDB/texts/10_Things_I_Hate_About_You.txt,https://www.boxofficemojo.com/release/rl742491649,Walt Disney Studios Motion Pictures,"8,330,681","2,271",31-Mar-99,276 days,PG-13,97,"['Comedy', 'Drama', 'Romance']","2,311","38,178,166","53,478,166","30,000,000"
1,12,['Comedy'],['Lawrence Bridges'],12,1407084,./data/IMSDB/texts/12.txt,https://www.boxofficemojo.com/release/rl326534657,Hannover House,"110,238",231,6-Aug-10,148 days,R,93,"['Action', 'Crime', 'Drama', 'Thriller']",231,"183,920","2,648,195","5,000,000"
2,12 and Holding,['Drama'],['Anthony Cipriano'],12_and_Holding,417385,./data/IMSDB/texts/12_and_Holding.txt,https://www.boxofficemojo.com/release/rl309757441,IFC Films,"11,456",3,19-May-06,227 days,R,95,['Drama'],15,"96,464","119,195","400,000"
3,12 Monkeys,"['Drama', 'Sci-Fi', 'Thriller']","['David Peoples', 'Janet Peoples']",12_Monkeys,114746,./data/IMSDB/texts/12_Monkeys.txt,https://www.boxofficemojo.com/release/rl393643521,Universal Pictures,"184,776",3,"(Wide)Dec 29, 1995",369 days,R,129,"['Mystery', 'Sci-Fi', 'Thriller']","1,629","57,141,459","168,839,459","29,000,000"
4,12 Years a Slave,['Drama'],['John Ridley'],12_Years_a_Slave,2024544,./data/IMSDB/texts/12_Years_a_Slave.txt,https://www.boxofficemojo.com/release/rl376866305,Fox Searchlight Pictures,"923,715",19,"(Wide)Oct 18, 2013",440 days,R,134,"['Biography', 'Drama', 'History']","1,474","56,671,993","187,733,202","20,000,000"
5,127 Hours,"['Adventure', 'Drama', 'Thriller']","['Simon Beaufoy', 'Danny Boyle']",127_Hours,1542344,./data/IMSDB/texts/127_Hours.txt,https://www.boxofficemojo.com/release/rl658605569,Fox Searchlight Pictures,"264,851",4,"(Wide)Nov 5, 2010",422 days,R,94,"['Adventure', 'Biography', 'Drama']",916,"18,335,230","60,738,797","18,000,000"
6,15 Minutes,"['Action', 'Crime', 'Thriller']",['John Hertzfield'],15_Minutes,179626,./data/IMSDB/texts/15_Minutes.txt,,,,,,,,,,,,,"42,000,000"
7,17 Again,"['Comedy', 'Drama', 'Romance']",['Jason Filardi'],17_Again,974661,./data/IMSDB/texts/17_Again.txt,https://www.boxofficemojo.com/release/rl4294145,Warner Bros.,"23,722,310","3,255",17-Apr-09,259 days,PG-13,102,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Sport']","3,255","64,167,069","136,316,880","40,000,000"
8,187,['Drama'],['Scott Yagemann'],187,118531,./data/IMSDB/texts/187.txt,https://www.boxofficemojo.com/release/rl54625793,Warner Bros.,"2,222,984","1,121",30-Jul-97,155 days,R,119,"['Drama', 'Thriller']","1,121","5,727,130","5,727,130","23,000,000"
9,2001: A Space Odyssey,"['Adventure', 'Sci-Fi']","['Stanley Kubrick', 'Arhur C. Clarke']",2001__A_Space_Odyssey,62622,./data/IMSDB/texts/2001:_A_Space_Odyssey.txt,https://www.boxofficemojo.com/release/rl1900119553,Metro-Goldwyn-Mayer (MGM),"12,000,000",Budget,3-Apr-68,"1,003 days",,149,"['Adventure', 'Sci-Fi']","IMDbPro
                    See more details at IMDbPro","56,715,371","56,715,371","10,500,000"
10,2012,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']","['Roland Emmerich', 'Harald Kloser']",2012,1190080,./data/IMSDB/texts/2012.txt,https://www.boxofficemojo.com/release/rl1833010689,Sony Pictures Entertainment (SPE),"65,237,614","3,404",13-Nov-09,414 days,PG-13,158,"['Action', 'Adventure', 'Sci-Fi']","3,444","166,112,167","769,679,473","200,000,000"
11,25th Hour,"['Crime', 'Drama']",['David Benioff'],25th_Hour,307901,./data/IMSDB/texts/25th_Hour.txt,https://www.boxofficemojo.com/release/rl1212253697,Walt Disney Studios Motion Pictures,"108,865",5,19-Dec-02,378 days,R,135,['Drama'],495,"13,084,595","23,928,503","5,000,000"
12,28 Days Later,"['Drama', 'Horror', 'Sci-Fi']",['Alex Garland'],28_Days_Later,289043,./data/IMSDB/texts/28_Days_Later.txt,https://www.boxofficemojo.com/release/rl1262585345,Fox Searchlight Pictures,"10,061,858","1,260",27-Jun-03,188 days,R,113,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']","1,407","45,064,915","82,719,885","8,000,000"
13,30 Minutes or Less,"['Action', 'Adventure', 'Comedy']","['Michael Diliberti', 'Matthew Sullivan']",30_Minutes_or_Less,1622547,./data/IMSDB/texts/30_Minutes_or_Less.txt,https://www.boxofficemojo.com/release/rl3007415809,Sony Pictures Entertainment (SPE),"13,330,118","2,888",12-Aug-11,142 days,R,83,"['Action', 'Comedy', 'Crime']","2,888","37,053,924","40,662,632","28,000,000"
14,42,['Drama'],['Brian Helgeland'],42,453562,./data/IMSDB/texts/42.txt,https://www.boxofficemojo.com/release/rl4181820929,Warner Bros.,"27,487,144","3,003",12-Apr-13,264 days,PG-13,128,"['Biography', 'Drama', 'Sport']","3,405","95,020,213","97,470,701","40,000,000"
16,48 Hrs.,"['Action', 'Comedy', 'Thriller']","['Steven E. De Souza', 'Walter Hill', 'Roger Spottiswoode', 'Larry Gross', 'Jeb Stuart']",48_Hrs,83511,./data/IMSDB/texts/48_Hrs.txt,https://www.boxofficemojo.com/release/rl4030825985,Paramount Pictures,"4,369,868",850,10-Dec-82,387 days,,96,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']","1,050","78,868,508","78,868,508","1,000,000"
17,50-50,"['Comedy', 'Drama']",['Will Reiser'],50-50,483971,./data/IMSDB/texts/50-50.txt,,,,,,,,,,,,,"8,000,000"
18,500 Days of Summer,"['Comedy', 'Drama', 'Romance']","['Scott Neustadter', 'Michael H. Weber']",500_Days_of_Summer,1022603,./data/IMSDB/texts/500_Days_of_Summer.txt,https://www.boxofficemojo.com/release/rl3913385473,Fox Searchlight Pictures,"834,501",27,"(Wide)Jul 17, 2009",175 days,PG-13,95,"['Comedy', 'Drama', 'Romance']","1,048","32,391,374","60,722,734","7,500,000"
19,8MM,"['Mystery', 'Thriller']",['Andrew Kevin Walker'],8MM,134273,./data/IMSDB/texts/8MM.txt,https://www.boxofficemojo.com/release/rl3342960129,Sony Pictures Entertainment (SPE),"14,252,888","2,370",26-Feb-99,309 days,R,123,"['Crime', 'Drama', 'Mystery', 'Thriller']","2,370","36,663,315","96,618,699","40,000,000"
20,9,"['Animation', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi']","['Pamela Pettler', 'Shane Acker']",9,472033,./data/IMSDB/texts/9.txt,https://www.boxofficemojo.com/release/rl1010861569,Focus Features,"10,740,446","1,661",9-Sep-09,121 days,PG-13,79,"['Action', 'Adventure', 'Animation', 'Sci-Fi']","2,060","31,749,894","48,428,063","30,000,000"
21,A Few Good Men,"['Crime', 'Drama', 'Mystery', 'Thriller']",['Aaron Sorkin'],A_Few_Good_Men,104257,./data/IMSDB/texts/A_Few_Good_Men.txt,https://www.boxofficemojo.com/release/rl1666418177,Columbia Pictures,"15,517,468","1,925",11-Dec-92,386 days,R,138,"['Drama', 'Thriller']","2,201","141,340,178","243,240,178","41,000,000"
22,A Most Violent Year,"['Action', 'Crime', 'Drama']",['J.C. Chandor'],A_Most_Violent_Year,2937898,./data/IMSDB/texts/A_Most_Violent_Year.txt,https://www.boxofficemojo.com/release/rl3110438401,A24,"172,788",4,"(Wide)Dec 31, 2014",366 days,R,125,"['Action', 'Crime', 'Drama', 'Thriller']",818,"5,749,134","12,007,070","20,000,000"
24,A Quiet Place,"['Drama', 'Horror', 'Sci-Fi']","['Bryan Woods', 'Scott Beck', 'John Krasinski']",A_Quiet_Place,6644200,./data/IMSDB/texts/A_Quiet_Place.txt,https://www.boxofficemojo.com/release/rl2399176193,Paramount Pictures,"50,203,562","3,508",6-Apr-18,270 days,PG-13,90,"['Drama', 'Horror', 'Sci-Fi']","3,808","188,024,361","340,939,361","17,000,000"
25,A Scanner Darkly,"['Animation', 'Crime', 'Drama']",['Charlie Kaufman'],A_Scanner_Darkly,405296,./data/IMSDB/texts/A_Scanner_Darkly.txt,https://www.boxofficemojo.com/release/rl4184835585,Warner Independent Pictures (WIP),"391,672",17,7-Jul-06,178 days,R,100,"['Animation', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",263,"5,501,616","7,659,918","20,000,000"
26,A Serious Man,['Comedy'],"['Joel Coen', 'Ethan Coen']",A_Serious_Man,1019452,./data/IMSDB/texts/A_Serious_Man.txt,https://www.boxofficemojo.com/release/rl1382974977,Focus Features,"251,337",6,2-Oct-09,456 days,R,106,"['Comedy', 'Drama']",262,"9,228,768","31,430,334","7,000,000"
27,Above the Law,['Action'],"['Steven Pressfield', 'Ronald Shusett', 'Andrew Davis', 'Steven Seagal']",Above_the_Law,94602,./data/IMSDB/texts/Above_the_Law.txt,https://www.boxofficemojo.com/release/rl306218497,Warner Bros.,"2,037,938",350,"(Wide)Apr 8, 1988",268 days,,99,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",868,"18,869,631","18,869,631","7,500,000"
28,Absolute Power,"['Thriller', 'Crime', 'Drama']","['David Baldacci', 'William Goldman']",Absolute_Power,118548,./data/IMSDB/texts/Absolute_Power.txt,https://www.boxofficemojo.com/release/rl390104577,Sony Pictures Entertainment (SPE),"14,678,016","2,568",14-Feb-97,321 days,R,121,"['Action', 'Crime', 'Drama', 'Thriller']","2,568","50,068,310","50,068,310","50,000,000"
30,Adaptation,"['Comedy', 'Drama']","['Charlie Kaufman', 'Donald Kaufman']",Adaptation,268126,./data/IMSDB/texts/Adaptation.txt,https://www.boxofficemojo.com/release/rl2000717313,Sony Pictures Entertainment (SPE),"384,478",7,"(Wide)Dec 6, 2002",391 days,R,115,"['Comedy', 'Drama']",672,"22,498,520","32,801,173","19,000,000"
31,"Addams Family, The","['Comedy', 'Fantasy', 'Horror', 'Family']","['Charles Addams', 'Caroline Thompson']",Addams_Family,101272,./data/IMSDB/texts/Addams_Family.txt,https://www.boxofficemojo.com/release/rl1749059073,Paramount Pictures,"24,203,754","2,411",22-Nov-91,406 days,,99,"['Comedy', 'Fantasy']","2,411","113,502,426","191,502,426","30,000,000"
32,"Adjustment Bureau, The","['Romance', 'Sci-Fi', 'Thriller']","['George Nolfi', 'Philip K Dick']",Adjustment_Bureau,1385826,./data/IMSDB/texts/Adjustment_Bureau.txt,https://www.boxofficemojo.com/release/rl1849722369,Universal Pictures,"21,157,730","2,840",4-Mar-11,303 days,PG-13,106,"['Romance', 'Sci-Fi', 'Thriller']","2,847","62,495,645","127,869,379","50,200,000"
33,"Adventures of Buckaroo Banzai Across the Eighth Dimension, The","['Adventure', 'Comedy', 'Romance', 'Sci-Fi']",['Earl Mac Rauch'],Adventures_of_Buckaroo_Banzai_Across_the_Eighth_Dimension,86856,./data/IMSDB/texts/Adventures_of_Buckaroo_Banzai_Across_the_Eighth_Dimension.txt,https://www.boxofficemojo.com/release/rl2856945153,Twentieth Century Fox,"620,279",236,10-Aug-84,147 days,,103,"['Adventure', 'Comedy', 'Romance', 'Sci-Fi']",236,"6,254,148","6,254,148","12,000,000"
34,Affliction,['Drama'],"['Russell Banks', 'Paul Schrader']",Affliction,118564,./data/IMSDB/texts/Affliction.txt,https://www.boxofficemojo.com/release/rl1296074241,Lionsgate,"63,979",3,30-Dec-98,367 days,R,114,"['Drama', 'Mystery', 'Thriller']",335,"6,330,054","6,330,054","6,000,000"
36,After.Life,"['Drama', 'Horror', 'Thriller']",['Agnieszka Wojtowicz-Vosloo'],After,838247,./data/IMSDB/texts/After.txt,https://www.boxofficemojo.com/release/rl3191899649,Anchor Bay Films,"59,946",41,9-Apr-10,267 days,R,104,"['Drama', 'Mystery', 'Thriller']",41,"108,595","2,422,634","4,500,000"
