,ind1,ind2
0,0,"3,402"
1,3,"2,097"
2,4,"2,620"
3,5,"2,917"
4,7,"1,473"
5,9,"3,683"
6,10,65
7,11,"4,665"
8,12,"4,054"
9,13,"2,141"
10,14,"1,893"
11,18,"4,148"
12,19,"1,514"
13,20,"2,004"
14,21,"1,837"
15,22,"2,774"
16,24,"2,980"
17,25,"2,776"
18,26,"4,220"
19,28,"1,176"
20,29,"3,494"
21,30,"2,868"
22,31,"1,919"
23,32,"1,121"
24,36,"4,685"
25,41,363
26,42,"3,677"
27,43,"1,056"
28,45,743
29,46,938
30,47,"2,982"
31,49,"3,170"
32,52,959
33,53,"2,778"
34,54,"2,891"
35,55,"1,566"
36,56,"3,126"
37,57,391
38,60,"1,433"
39,61,"1,172"
40,63,"1,790"
41,64,"3,487"
42,65,868
43,66,"4,077"
44,68,995
45,69,"5,173"
46,73,"3,924"
47,74,"4,152"
48,75,961
49,76,"1,922"
50,77,"1,099"
51,78,"1,633"
52,79,195
53,80,"1,257"
54,81,"4,716"
55,83,"2,171"
56,84,"2,051"
57,85,897
58,87,"1,890"
59,88,809
60,89,"4,534"
61,91,"3,556"
62,95,222
63,96,"3,648"
64,99,"3,053"
65,100,"1,129"
66,101,"1,204"
67,103,"1,547"
68,104,"2,301"
69,105,"2,889"
70,106,"1,692"
71,108,"1,510"
72,110,972
73,111,27
74,114,"2,660"
75,117,"1,739"
76,119,"2,464"
77,124,"2,885"
78,125,"2,835"
79,127,"3,846"
80,130,"1,211"
81,132,"4,978"
82,133,"1,691"
83,136,"5,543"
84,137,742
85,138,"1,192"
86,140,"4,396"
87,141,"5,284"
88,142,146
89,143,"3,499"
90,144,"4,908"
91,146,"3,412"
92,148,"5,357"
93,150,"1,104"
94,152,"3,711"
95,153,"2,877"
96,155,"3,781"
97,156,749
98,157,"3,205"
99,162,"3,432"
100,163,973
101,164,44
102,165,"1,971"
103,166,"3,233"
104,167,"3,385"
105,168,"3,150"
106,171,"2,143"
107,172,834
108,173,"1,763"
109,174,"1,690"
110,176,"2,236"
111,178,"1,959"
112,179,"5,496"
113,188,"3,188"
114,189,592
115,190,"4,081"
116,191,"4,261"
117,192,"4,594"
118,193,"4,669"
119,194,"1,320"
120,195,887
121,196,518
122,197,256
123,199,931
124,200,"4,721"
125,201,716
126,202,"3,231"
127,204,"1,675"
128,208,"1,854"
129,209,"1,882"
130,211,826
131,213,"2,786"
132,214,564
133,217,"5,267"
134,218,"1,063"
135,219,"1,658"
136,221,"3,391"
137,222,"1,281"
138,224,"4,196"
139,226,62
140,227,"2,189"
141,228,"1,110"
142,229,515
143,230,"1,106"
144,231,416
145,232,"3,859"
146,233,"3,812"
147,234,"5,632"
148,235,"1,714"
149,236,"1,343"
150,237,"1,111"
151,238,"1,065"
152,241,"1,276"
153,242,"5,856"
154,247,"3,498"
155,248,93
156,252,"1,567"
157,255,289
158,256,"6,038"
159,257,824
160,258,"3,368"
161,260,112
162,262,591
163,264,545
164,265,"1,513"
165,267,"3,725"
166,268,503
167,269,"2,107"
168,270,"3,222"
169,271,677
170,272,"4,742"
171,273,"2,664"
172,274,910
173,275,"3,866"
174,276,145
175,277,"2,310"
176,278,"3,518"
177,279,"4,173"
178,280,"1,148"
179,284,242
180,290,"3,629"
181,291,"4,714"
182,292,"5,864"
183,293,155
184,295,"4,496"
185,296,"4,311"
186,297,"2,833"
187,298,"2,187"
188,299,24
189,302,"1,038"
190,304,"2,129"
191,305,"4,857"
192,307,600
193,309,"3,045"
194,310,994
195,312,"2,759"
196,313,"1,240"
197,317,"1,367"
198,320,474
199,322,651
200,323,"3,090"
201,325,"1,697"
202,326,"1,010"
203,327,"2,117"
204,328,735
205,331,"2,606"
206,332,387
207,335,"3,735"
208,336,"1,732"
209,337,"1,517"
210,339,"1,980"
211,340,"2,937"
212,341,"3,165"
213,342,"1,234"
214,343,"3,794"
215,346,"3,047"
216,347,"1,347"
217,349,588
218,350,"1,230"
219,351,"4,052"
220,352,974
221,353,"2,938"
222,354,"2,625"
223,355,"2,034"
224,356,"6,070"
225,357,"4,025"
226,359,"1,077"
227,360,530
228,361,"1,706"
229,362,"1,629"
230,363,802
231,365,"1,135"
232,366,"1,215"
233,368,"2,658"
234,370,969
235,371,"2,991"
236,373,"3,411"
237,375,"2,581"
238,376,"4,153"
239,378,583
240,381,316
241,382,"1,550"
242,384,"4,663"
243,386,"3,486"
244,387,"2,870"
245,388,"4,911"
246,391,444
247,392,841
248,393,"3,619"
249,394,"2,466"
250,395,"2,217"
251,396,449
252,398,"1,761"
253,400,"1,894"
254,401,"1,302"
255,402,"1,021"
256,403,"1,781"
257,404,"4,751"
258,405,"2,448"
259,408,"1,353"
260,409,"1,609"
261,411,"2,259"
262,413,"1,901"
263,414,"5,705"
264,415,"4,526"
265,418,"2,681"
266,420,170
267,422,"5,515"
268,423,"5,614"
269,424,"1,378"
270,425,713
271,426,"1,179"
272,427,116
273,430,"1,225"
274,431,"2,508"
275,433,435
276,434,"5,075"
277,435,"1,682"
278,437,"4,221"
279,438,"2,006"
280,442,"2,498"
281,445,"2,670"
282,446,"4,440"
283,447,"1,906"
284,449,478
285,450,374
286,451,"3,465"
287,452,"4,293"
288,453,"4,181"
289,455,"1,092"
290,456,"4,854"
291,457,153
292,458,"2,850"
293,459,373
294,461,"3,693"
295,462,"1,476"
296,465,"2,250"
297,469,334
298,470,78
299,471,884
300,472,"3,617"
301,475,"3,184"
302,476,"3,298"
303,478,53
304,480,790
305,481,"5,821"
306,482,"4,522"
307,483,177
308,484,"1,689"
309,489,516
310,490,771
311,492,"3,962"
312,494,"1,445"
313,497,"4,579"
314,499,"5,410"
315,500,"4,006"
316,504,"5,492"
317,508,"2,248"
318,512,"4,254"
319,513,"2,675"
320,514,"3,086"
321,515,"3,219"
322,516,"2,997"
323,519,"1,333"
324,520,489
325,522,"1,698"
326,523,909
327,525,694
328,526,"1,674"
329,527,"2,974"
330,528,"4,217"
331,529,"2,161"
332,530,141
333,531,213
334,532,851
335,533,"1,588"
336,535,"1,914"
337,536,"3,207"
338,537,"1,168"
339,538,"2,512"
340,539,"3,441"
341,540,"5,304"
342,541,"2,433"
343,543,366
344,544,"2,932"
345,545,"2,468"
346,546,"2,060"
347,547,"5,306"
348,549,150
349,551,656
350,552,"1,258"
351,553,"2,584"
352,554,"2,113"
353,557,733
354,559,"5,330"
355,561,143
356,562,"1,139"
357,563,"2,705"
358,564,"1,015"
359,565,956
360,567,"2,869"
361,568,951
362,571,"1,688"
363,575,529
364,576,890
365,578,"3,505"
366,581,"3,339"
367,582,"3,484"
368,583,"2,599"
369,584,"2,518"
370,586,"3,075"
371,587,"1,127"
372,589,"1,466"
373,591,"1,671"
374,592,"1,976"
375,593,"1,020"
376,594,"1,365"
377,595,"4,180"
378,596,861
379,597,454
380,598,660
381,601,"1,272"
382,602,"5,338"
383,603,"4,723"
384,606,"5,356"
385,607,41
386,609,"3,125"
387,612,"2,163"
388,614,"2,160"
389,615,258
390,616,"1,710"
391,617,"2,590"
392,620,"1,735"
393,621,"2,183"
394,622,"2,865"
395,623,"1,995"
396,627,"1,459"
397,628,228
398,629,"2,936"
399,631,"1,097"
400,633,"4,719"
401,634,"2,878"
402,635,"2,351"
403,637,880
404,638,812
405,641,"1,299"
406,642,"1,004"
407,643,"2,923"
408,644,"1,227"
409,645,306
410,646,"4,589"
411,647,"3,839"
412,648,"2,172"
413,649,807
414,650,"1,478"
415,654,615
416,656,"5,399"
417,657,275
418,659,"4,533"
